accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,label
0.37305,8.355,2.66295,-87.97552,-21.0032,-31.29997,non-fall
-0.084,5.244,9.09405,-57.87303,-38.36668,-21.28681,non-fall
-0.057,4.40895,9.50805,-36.80681,5.17596,-17.78891,non-fall
0.78405,6.51105,6.003,-86.5023,-42.91239,-26.81729,non-fall
-0.60795,4.40205,9.38805,-7.26367,16.79626,-18.13555,non-fall
-0.47595,4.749,8.86395,8.34298,13.8577,-12.11662,non-fall
-0.80205,5.16495,8.89695,34.80575,21.48377,8.11452,non-fall
-0.306,5.73795,6.93405,48.31681,29.8819,24.28052,non-fall
-0.069,6.906,5.715,22.41339,29.18074,26.10038,non-fall
0.01095,7.42605,5.11005,0.29937,15.25214,22.04312,non-fall
-0.23205,7.323,5.943,-1.59139,13.15654,12.17177,non-fall
0.64305,7.596,5.78205,-3.48215,13.15654,15.25214,non-fall
1.44795,7.89705,7.10895,-3.83667,18.68702,1.45746,non-fall
1.30605,7.43295,7.107,7.71273,11.82513,-6.31041,non-fall
1.40505,6.837,4.995,-10.97429,-10.35979,-12.88869,non-fall
0.90705,6.24495,6.82905,-41.70703,-32.5526,-39.06784,non-fall
1.33005,6.66195,8.92095,-23.78419,-35.77477,-36.12929,non-fall
-0.07905,6.62805,8.69205,2.11923,-7.0746,-38.43759,non-fall
-0.02595,6.78195,6.98895,16.95382,19.73482,-23.24848,non-fall
-1.137,7.287,7.092,26.40763,22.88608,-4.13604,non-fall
-0.936,7.12905,5.11695,27.45542,50.18394,14.06253,non-fall
0.08805,6.537,4.197,-15.45697,58.44814,44.29895,non-fall
2.118,7.392,5.61,-28.75532,33.52161,32.89136,non-fall
2.66595,7.16205,6.201,-38.8315,-5.39655,-7.70485,non-fall
-0.462,6.99195,9.73095,6.45222,-15.40182,-53.35097,non-fall
-1.58295,6.84105,6.489,40.19442,27.50269,-21.98797,non-fall
-1.76205,6.86295,5.22195,21.71224,43.46386,18.2616,non-fall
-0.39,7.323,4.61595,-1.31565,59.1493,27.84933,non-fall
0.33405,7.272,5.11005,-40.86407,30.30732,27.08515,non-fall
2.772,6.73095,7.21905,-32.59986,-37.38192,-36.83044,non-fall
2.88705,7.974,6.975,-26.58094,-1.61502,-14.92125,non-fall
-0.18705,7.32,7.899,-30.08673,-10.64341,-45.85883,non-fall
-1.24695,7.20105,7.107,19.89238,-1.61502,-25.41497,non-fall
0.57405,2.85495,6.32805,48.18289,12.10087,-39.83202,fall
-0.63405,4.296,1.74795,93.26177,12.31358,-4.48268,fall
-13.53705,-4.17405,-13.90695,61.12672,-66.2948,-77.00123,fall
-7.68795,2.78595,-3.65505,-92.86786,-4.49056,57.25066,fall
2.31,4.545,4.446,91.58372,-91.98551,-165.48094,fall
-10.57095,10.608,6.996,-74.45658,182.12753,41.08465,fall
1.512,6.20505,3.39105,-25.32044,7.9018,8.74477,fall
1.30905,-0.04605,2.87805,-72.77853,-89.46449,53.89456,fall
2.673,3.645,16.57395,54.06,79.44346,-6.23163,fall
2.439,-0.30195,11.60805,37.05103,-193.06242,-36.0505,fall
-0.35205,0.64305,15.369,-131.15576,-143.36693,-58.31421,fall
0.50895,-1.35105,-3.552,-80.75912,-49.63247,-161.28189,fall
-26.112,10.713,-2.79495,-292.08316,-172.62645,539.05591,fall
9.77505,6.822,-0.906,-9.28836,87.21134,-64.26223,fall
5.80005,8.13195,11.86395,-106.23711,-123.3485,-55.37565,fall
5.13,2.20605,6.582,-36.09777,-285.88303,-109.20718,fall
4.788,0.336,-4.59105,-63.67925,-89.04695,-186.68898,fall
-1.47,17.31405,-6.69795,-265.34464,-42.70756,-214.27045,fall
-1.61595,4.083,-9.21,105.15781,28.47958,29.67707,fall
5.64705,4.44,14.47605,-39.17814,-172.55554,-99.75338,fall
10.60305,-7.533,15.702,-204.51729,-355.67572,-135.24454,fall
-24.237,27.28905,9.52995,-12.71537,8.46115,-75.25228,fall
-6.984,-18.52305,21.98205,-278.22543,-347.89996,-166.53662,fall
-8.71305,7.66995,-4.04295,-97.20873,72.78641,37.44494,fall
2.51805,1.416,8.79195,103.21191,-4.08877,-17.78891,fall
-0.852,1.311,8.91195,163.83443,-32.08778,6.98794,fall
0.35295,-7.095,-1.30605,9.48532,47.15084,-76.9382,fall
-1.99905,3.45405,3.91305,299.77222,-15.43334,69.91875,fall
2.00505,4.332,-11.17995,-126.03495,-18.86034,19.16759,fall
0.696,6.89205,12.88905,-1.36292,-29.99219,6.77523,fall
1.69395,1.11705,-2.376,-90.40199,-11.99845,-11.55727,fall
2.23305,1.509,2.41095,-30.83516,-128.26448,-46.97752,fall
12.10005,-10.25295,9.82905,-8.22481,-82.55534,-239.96906,fall
-4.365,6.681,4.21395,14.31463,23.56361,17.48954,fall
-4.53,7.074,3.37095,-7.87029,-4.30148,75.58316,fall
3.82005,0.31695,8.34705,-48.67921,82.01175,63.1908,fall
4.06905,-2.13405,7.94505,-102.16411,65.27852,34.14399,fall
